Full Name,Workplace,Location,Connections,Followers,Number of Experiences,Number of Educations,Number of Skills,Number of Projects,Number of Publications,Number of Languages,Number of Interests,Average Likes per Post,Average Comments per Post,Average Shares per Post,Total Posts,Engagement Rate (%),Last Active Date,Post Frequency,Most Engaged Post Type,Years of Experience,Job Changes in Last 5 Years,Promotion Count,Industry,Sentiment of Recent Posts,LinkedIn Profile Popularity Score
Tanvi Agarwal,Amazon,Germany,4953,7503,5,1,24,8,0,2,2,357,82,49,117,9.74,29-06-2024,Weekly,Image,22,3,2,Education,Positive,43.78
Aarav Sharma,Freelancer,Australia,1759,8045,8,3,14,4,2,1,3,322,30,0,328,2.06,30-06-2024,Weekly,Article,3,4,1,Marketing,Neutral,51.77
Pooja Choudhary,Tesla,Germany,1366,18011,9,2,39,2,2,2,13,401,73,10,368,7.03,01-07-2024,Monthly,Video,24,3,2,Finance,Negative,20.61
Tanvi Agarwal,Google,India,1470,5565,10,2,35,6,4,3,16,29,25,37,133,9.48,02-07-2024,Weekly,Video,17,4,1,Tech,Positive,50.52
Aniket Bose,Google,Australia,529,2209,11,3,34,0,1,1,1,67,51,25,140,4.58,03-07-2024,Rarely,Video,1,1,0,Education,Negative,61.79
Pooja Choudhary,Freelancer,Germany,772,18796,9,4,32,5,0,4,5,488,87,16,283,1.43,04-07-2024,Daily,Video,26,1,2,Finance,Neutral,79.11
Shweta Bhattacharya,Amazon,Australia,115,9483,10,4,24,1,1,2,8,43,67,37,273,2.02,05-07-2024,Monthly,Video,10,2,1,Finance,Negative,59.92
Simran Kaur,Startup,Germany,2310,13539,12,3,27,9,4,2,8,86,85,16,414,5.4,06-07-2024,Daily,Video,1,3,2,Tech,Positive,14.19
Kavya Deshmukh,Startup,Germany,3516,3300,10,1,41,5,4,2,3,218,65,45,390,9,07-07-2024,Daily,Text,2,4,1,Consulting,Negative,76.38
Varun Bhatia,Amazon,Germany,4061,18299,12,4,45,9,0,1,7,410,84,16,464,9.95,08-07-2024,Rarely,Image,3,0,1,Tech,Neutral,8.71
Tanvi Agarwal,Freelancer,UK,2479,19657,8,3,37,1,4,3,6,66,74,25,215,2.26,09-07-2024,Weekly,Video,11,2,0,Healthcare,Positive,39.47
Kavya Deshmukh,Amazon,USA,4920,3824,1,4,14,8,4,4,5,297,28,10,449,5.87,10-07-2024,Weekly,Image,27,1,0,Education,Negative,98.36
Shweta Bhattacharya,Microsoft,India,2210,13358,11,1,25,6,1,2,17,222,40,33,277,7.08,11-07-2024,Daily,Article,11,2,2,Education,Neutral,88.38
Rohan Iyer,Freelancer,Germany,2114,19489,11,4,38,2,1,3,2,182,11,8,472,7.98,12-07-2024,Rarely,Image,13,1,0,Tech,Neutral,30.41
Divya Menon,Freelancer,USA,3830,3784,8,1,16,4,3,4,3,342,8,25,370,0.79,13-07-2024,Monthly,Text,7,1,0,Consulting,Positive,92.18
Aditi Chauhan,Startup,Germany,3730,9956,10,4,24,9,3,4,8,256,32,26,419,7.44,14-07-2024,Daily,Video,20,4,2,Finance,Positive,29.09
Abhishek Tiwari,Amazon,Canada,2919,12583,13,2,13,7,4,4,16,142,89,10,45,9.3,15-07-2024,Monthly,Image,11,2,1,Consulting,Positive,59.73
Kavya Deshmukh,Startup,USA,1558,18376,6,1,33,0,2,4,13,430,24,49,126,9.68,16-07-2024,Rarely,Text,12,3,2,Marketing,Positive,39.95
Sneha Joshi,Amazon,USA,1475,12713,7,2,38,1,1,4,13,231,49,25,118,5.75,17-07-2024,Rarely,Image,29,4,2,Finance,Negative,25.05
Priya Verma,Tesla,India,4974,15140,6,4,23,6,4,4,8,193,16,45,486,9.84,18-07-2024,Weekly,Article,20,1,0,Healthcare,Neutral,83.66
Swati Rajan,Google,Canada,940,6514,9,2,21,8,0,2,19,17,46,30,467,6.4,19-07-2024,Rarely,Article,9,4,1,Marketing,Neutral,7.43
Ritika Jain,Google,Germany,2093,19658,13,1,24,1,2,3,16,65,5,14,403,0.87,20-07-2024,Daily,Video,1,4,1,Healthcare,Positive,60.02
Pooja Choudhary,Freelancer,Germany,4292,10356,6,4,14,0,4,3,9,95,9,6,381,3.22,21-07-2024,Rarely,Image,5,3,0,Marketing,Positive,21.09
Sneha Joshi,Tesla,USA,362,13432,7,4,11,5,0,4,10,22,31,35,447,8.8,22-07-2024,Monthly,Text,24,4,2,Healthcare,Neutral,85.16
Varun Bhatia,Microsoft,UK,2451,19971,3,2,30,0,1,4,1,310,44,43,329,5.89,23-07-2024,Daily,Article,25,1,1,Tech,Neutral,89.12
Neha Malhotra,Tesla,USA,1901,449,10,2,28,9,0,4,4,495,46,32,329,1.38,24-07-2024,Weekly,Video,2,3,2,Education,Neutral,47.63
Arjun Reddy,Microsoft,UK,3420,5176,3,1,47,5,0,3,16,254,7,22,263,8.65,25-07-2024,Weekly,Text,22,1,1,Education,Positive,46.7
Simran Kaur,Freelancer,USA,584,10105,13,1,33,6,0,3,15,357,25,14,204,9.19,26-07-2024,Rarely,Video,18,0,0,Finance,Neutral,40.51
Harsh Vardhan,Startup,USA,553,1010,13,3,43,6,0,2,2,338,46,21,398,1.18,27-07-2024,Monthly,Text,23,1,1,Consulting,Neutral,61.18
Ananya Kapoor,Startup,Canada,2618,4067,11,2,21,3,0,1,3,335,5,16,450,4.72,28-07-2024,Daily,Text,26,2,1,Finance,Positive,86.4
Ananya Kapoor,Google,Australia,3039,165,14,1,7,1,1,1,5,54,16,24,176,4.4,29-07-2024,Monthly,Image,15,1,2,Education,Positive,70.15
Divya Menon,Microsoft,Australia,4582,7167,5,3,19,5,3,1,4,270,61,24,303,7.96,30-07-2024,Rarely,Video,17,4,2,Healthcare,Neutral,57.31
Aditi Chauhan,Freelancer,Canada,4609,17388,10,3,24,9,4,1,19,397,90,24,324,9.7,31-07-2024,Monthly,Image,27,1,0,Education,Negative,63.6
Aarav Sharma,Google,UK,3016,9995,11,2,23,5,2,4,16,344,38,35,328,1.16,01-08-2024,Daily,Text,21,0,2,Marketing,Neutral,4.15
Aditi Chauhan,Facebook,USA,2287,10810,8,2,34,5,0,4,9,304,6,4,22,8.89,02-08-2024,Weekly,Text,22,2,2,Tech,Negative,10.35
Aniket Bose,Startup,India,4825,10422,1,2,13,1,4,4,18,63,45,38,118,3.02,03-08-2024,Rarely,Video,20,3,0,Consulting,Positive,62.22
Arjun Reddy,Facebook,India,2184,11217,8,1,18,8,1,4,2,361,5,29,271,7.49,04-08-2024,Weekly,Video,25,4,1,Healthcare,Positive,44.2
Kavya Deshmukh,Microsoft,UK,534,11429,4,2,47,0,1,2,10,71,41,1,32,3.95,05-08-2024,Weekly,Video,19,3,2,Consulting,Negative,56.97
Nidhi Goel,Startup,Canada,132,9508,9,1,8,9,3,1,8,124,79,16,171,3.07,06-08-2024,Rarely,Video,8,3,2,Marketing,Negative,29.69
Ritika Jain,Tesla,Germany,4459,9698,13,2,13,7,4,1,4,428,99,26,403,9.55,07-08-2024,Rarely,Text,9,3,0,Healthcare,Negative,95.38
Yashwant Joshi,Microsoft,Australia,544,8397,12,3,43,7,4,3,5,341,6,42,242,3.31,08-08-2024,Daily,Text,14,1,1,Tech,Negative,39.56
Divya Menon,Microsoft,Germany,997,11705,1,4,19,2,2,3,2,54,0,13,356,3.7,09-08-2024,Weekly,Video,3,4,2,Consulting,Neutral,5.63
Sneha Joshi,Facebook,USA,329,9967,11,4,6,3,1,2,4,345,91,4,90,3.33,10-08-2024,Monthly,Image,14,1,1,Tech,Positive,13.17
Aakash Sinha,Amazon,Germany,4316,1064,4,4,29,1,2,4,13,215,25,38,227,5.95,11-08-2024,Rarely,Article,29,0,1,Education,Negative,10.99
Aarav Sharma,Google,Germany,1375,7294,2,2,32,1,1,1,9,276,7,41,226,1.4,12-08-2024,Weekly,Article,12,2,2,Marketing,Negative,79.03
Aditi Chauhan,Freelancer,UK,4678,16615,12,4,42,8,1,1,3,401,74,4,52,7.35,13-08-2024,Daily,Text,27,2,1,Marketing,Positive,22.57
Varun Bhatia,Amazon,UK,4082,15173,7,4,28,3,3,2,13,281,42,28,166,7.56,14-08-2024,Weekly,Article,17,3,1,Education,Negative,89.31
Siddharth Pandey,Google,Australia,138,3295,12,2,27,4,3,4,16,456,66,41,156,1.77,15-08-2024,Monthly,Article,23,4,1,Education,Neutral,62.67
Aarav Sharma,Facebook,UK,3567,9403,14,1,31,5,3,1,11,25,20,4,498,0.79,16-08-2024,Weekly,Video,11,1,1,Tech,Neutral,51.54
Rahul Mishra,Google,Germany,1105,10909,8,4,43,3,4,1,10,261,98,35,334,1.03,17-08-2024,Weekly,Text,19,0,2,Finance,Neutral,60.43
Ananya Kapoor,Freelancer,India,1609,1517,6,4,27,4,4,4,11,241,1,0,170,2.67,18-08-2024,Rarely,Article,8,1,1,Marketing,Negative,47.8
Harsh Vardhan,Tesla,Australia,1830,924,12,4,26,2,3,4,13,64,67,7,446,3.17,19-08-2024,Daily,Text,3,2,0,Healthcare,Positive,2.32
Pallavi Thakur,Freelancer,Canada,1985,7242,1,3,40,5,0,3,18,449,91,28,194,3.58,20-08-2024,Monthly,Article,15,2,0,Tech,Positive,98.16
Siddharth Pandey,Google,Germany,1224,7771,2,4,10,0,3,3,19,20,51,19,449,6.12,21-08-2024,Weekly,Text,9,0,1,Tech,Negative,97.09
Priya Verma,Startup,Germany,961,13762,14,4,32,1,0,3,7,256,93,19,300,4.55,22-08-2024,Weekly,Text,6,3,2,Finance,Negative,86.47
Pallavi Thakur,Tesla,UK,361,2035,2,3,32,3,1,2,6,305,48,6,406,8.16,23-08-2024,Monthly,Text,3,3,1,Tech,Negative,63.28
Varun Bhatia,Google,USA,2293,15504,8,1,44,4,3,4,1,467,21,29,145,4.5,24-08-2024,Monthly,Article,17,0,0,Healthcare,Negative,84.22
Neha Malhotra,Google,Australia,315,3708,9,3,32,5,1,2,3,429,11,10,135,4.75,25-08-2024,Rarely,Article,11,3,1,Tech,Neutral,88.89
Siddharth Pandey,Freelancer,India,648,111,7,4,5,1,2,4,1,385,28,1,270,0.67,26-08-2024,Daily,Article,16,1,1,Education,Neutral,35.27
Rohan Iyer,Tesla,Australia,1116,782,14,2,20,8,4,4,2,439,72,25,486,2.85,27-08-2024,Rarely,Text,4,2,0,Education,Neutral,11.38
Pallavi Thakur,Google,India,4726,16065,2,1,37,1,3,3,11,399,66,47,263,8.82,28-08-2024,Weekly,Text,28,1,1,Healthcare,Positive,95.84
Pallavi Thakur,Freelancer,UK,414,19227,12,2,22,8,0,4,15,71,47,0,339,6.41,29-08-2024,Rarely,Article,9,4,1,Marketing,Positive,74.96
Sandeep Patil,Google,UK,4876,18476,2,1,49,3,3,2,2,255,58,23,411,2.44,30-08-2024,Monthly,Image,4,3,2,Healthcare,Negative,50.95
Kavya Deshmukh,Tesla,USA,4341,19947,10,3,7,0,1,3,17,189,40,49,134,1.47,31-08-2024,Monthly,Video,24,4,2,Consulting,Negative,27.49
Tanvi Agarwal,Google,UK,3614,4362,8,1,31,2,3,3,9,333,79,15,160,6.48,01-09-2024,Monthly,Text,14,3,0,Tech,Positive,8.45
Pooja Choudhary,Tesla,Australia,1361,804,7,1,28,1,0,4,16,52,55,5,362,3.69,02-09-2024,Monthly,Video,9,0,1,Marketing,Negative,91.22
Isha Bansal,Freelancer,USA,1490,16209,2,3,30,1,4,2,8,486,1,4,495,7.33,03-09-2024,Weekly,Image,23,3,1,Marketing,Neutral,66.12
Arjun Reddy,Tesla,UK,4916,8095,5,3,18,2,0,4,14,16,7,46,18,3.38,04-09-2024,Monthly,Video,11,3,2,Finance,Negative,28.67
Aditi Chauhan,Microsoft,India,4861,12832,10,3,33,4,2,2,17,272,75,21,18,9.86,05-09-2024,Daily,Video,8,4,2,Consulting,Neutral,16.56
Arjun Reddy,Tesla,USA,2059,19562,12,2,46,8,1,3,17,226,51,7,286,4.61,06-09-2024,Rarely,Image,20,2,0,Education,Neutral,83.84
Shweta Bhattacharya,Microsoft,Canada,3405,14228,2,4,32,2,3,3,13,427,54,46,267,5.67,07-09-2024,Weekly,Video,4,3,0,Marketing,Negative,10.03
Priya Verma,Tesla,Australia,3762,4003,13,4,38,7,4,1,19,283,88,35,437,6.42,08-09-2024,Daily,Text,1,3,1,Marketing,Negative,86.37
Aarav Sharma,Microsoft,Canada,1069,13872,13,2,47,7,2,2,1,482,75,22,130,3.23,09-09-2024,Weekly,Text,28,1,2,Education,Neutral,94.66
Meera Rao,Google,Australia,4676,19086,10,3,27,0,1,2,7,416,91,1,443,6.76,10-09-2024,Monthly,Text,11,4,0,Education,Negative,6.69
Kavya Deshmukh,Google,India,2465,4889,2,4,15,0,2,4,8,144,86,36,322,8.96,11-09-2024,Weekly,Video,28,1,0,Consulting,Positive,26.47
Isha Bansal,Amazon,UK,4538,197,2,4,26,4,0,2,19,389,37,24,268,2.07,12-09-2024,Rarely,Article,9,1,1,Healthcare,Positive,39.98
Karthik Nair,Freelancer,UK,605,522,14,4,34,1,1,3,19,497,32,25,74,7.31,13-09-2024,Weekly,Image,8,1,2,Finance,Positive,34.3
Harsh Vardhan,Microsoft,Germany,1825,8060,9,4,15,3,0,4,9,443,70,45,63,6.77,14-09-2024,Weekly,Video,5,1,0,Finance,Negative,58.6
Rahul Mishra,Facebook,USA,3460,8320,9,4,9,5,4,2,2,33,69,34,94,1.35,15-09-2024,Monthly,Article,28,4,0,Consulting,Negative,4.83
Varun Bhatia,Amazon,India,2430,18668,4,3,26,0,4,2,14,370,5,24,357,4.86,16-09-2024,Monthly,Image,18,3,2,Consulting,Negative,1.14
Isha Bansal,Facebook,UK,3653,16866,8,4,32,4,0,2,17,158,90,27,90,7.52,17-09-2024,Monthly,Text,19,3,2,Finance,Negative,79.55
Tanvi Agarwal,Tesla,Australia,3489,7240,2,3,38,8,2,1,13,64,94,48,454,6.12,18-09-2024,Monthly,Article,2,4,0,Marketing,Positive,79.38
Kavya Deshmukh,Google,India,879,6694,11,4,48,4,4,3,11,9,31,32,56,7.51,19-09-2024,Daily,Text,19,0,0,Healthcare,Negative,33.75
Varun Bhatia,Facebook,Australia,2556,9417,5,4,6,2,2,2,11,287,45,8,59,2.83,20-09-2024,Monthly,Image,11,0,2,Consulting,Negative,57.6
Abhishek Tiwari,Amazon,Canada,1457,13309,5,1,39,0,2,3,8,18,30,48,82,6.03,21-09-2024,Daily,Video,28,4,2,Tech,Negative,81.19
Nitin Saxena,Facebook,Germany,4747,5396,12,4,39,1,0,4,11,119,65,36,482,3.13,22-09-2024,Monthly,Text,11,0,2,Consulting,Positive,91.29
Sneha Joshi,Startup,Canada,2160,6102,14,1,38,4,4,4,14,374,29,15,280,8.08,23-09-2024,Monthly,Article,29,2,0,Education,Negative,52.21
Ritika Jain,Amazon,Germany,1885,9353,9,2,23,8,3,3,11,394,3,49,308,1.67,24-09-2024,Weekly,Image,3,1,0,Tech,Negative,52.24
Tanvi Agarwal,Startup,Australia,1439,10158,8,3,10,2,2,3,8,217,76,3,432,7.32,25-09-2024,Daily,Video,3,2,2,Education,Negative,72.81
Rahul Mishra,Tesla,Australia,4998,14624,10,3,13,0,1,3,6,364,54,2,126,3.77,26-09-2024,Daily,Text,12,4,1,Finance,Neutral,15.01
Manish Kulkarni,Facebook,Germany,2591,4732,8,1,10,5,0,1,8,179,78,18,449,6.1,27-09-2024,Rarely,Image,19,2,2,Tech,Neutral,41.04
Arjun Reddy,Facebook,Australia,1638,11700,11,3,12,4,0,2,6,387,91,38,67,9.79,28-09-2024,Daily,Article,2,1,1,Education,Negative,57.8
Rohan Iyer,Google,USA,59,4418,2,2,13,3,4,3,5,489,45,12,363,4.73,29-09-2024,Monthly,Image,25,3,1,Finance,Negative,67.97
Shweta Bhattacharya,Google,USA,4874,17483,12,4,38,6,4,3,12,378,29,9,126,2.68,30-09-2024,Rarely,Article,7,4,2,Finance,Negative,57.78
Isha Bansal,Amazon,USA,3545,3132,5,1,41,9,2,2,19,208,49,1,432,3.03,01-10-2024,Monthly,Image,12,4,0,Healthcare,Positive,35.15
Nitin Saxena,Google,Germany,4425,5856,1,4,13,6,4,4,19,342,91,16,460,6.79,02-10-2024,Rarely,Text,21,1,1,Healthcare,Positive,55.27
Vikram Mehta,Google,India,1035,8195,9,1,40,2,3,3,11,114,98,11,363,9.38,03-10-2024,Monthly,Article,16,2,1,Education,Neutral,23.84
Sneha Joshi,Microsoft,Germany,4346,13368,8,2,45,5,1,4,15,461,71,42,256,9.08,04-10-2024,Monthly,Article,13,4,0,Marketing,Neutral,62.51
Aditi Chauhan,Microsoft,UK,4435,7884,13,2,31,0,0,4,15,227,8,24,60,7.94,05-10-2024,Rarely,Image,5,1,0,Consulting,Neutral,42.28
Karthik Nair,Facebook,USA,1654,18269,14,3,35,1,2,4,17,125,71,47,303,5.77,06-10-2024,Monthly,Article,26,0,2,Finance,Negative,3.37
Aditi Chauhan,Amazon,Germany,2495,4109,8,4,39,0,4,1,19,134,15,49,218,3.15,07-10-2024,Rarely,Text,6,3,1,Finance,Neutral,17.89
Nidhi Goel,Google,Australia,3908,2181,5,4,31,3,1,4,4,384,34,13,122,3.56,08-10-2024,Rarely,Video,10,1,2,Healthcare,Neutral,43.27
Tanvi Agarwal,Startup,Germany,2199,7324,8,3,6,4,2,2,8,56,28,12,29,4.48,09-10-2024,Monthly,Article,14,1,2,Education,Negative,1.32
Ritika Jain,Startup,UK,2555,11566,13,2,41,3,0,1,17,260,60,24,378,9.32,10-10-2024,Rarely,Article,3,3,1,Marketing,Negative,86.33
Isha Bansal,Facebook,India,1606,9789,12,3,7,9,1,4,18,246,53,7,347,2.57,11-10-2024,Daily,Image,26,3,2,Education,Negative,74.66
Aakash Sinha,Startup,Germany,2635,11882,13,2,14,6,3,3,1,16,83,7,301,9.96,12-10-2024,Monthly,Text,22,4,0,Marketing,Positive,64.2
Varun Bhatia,Startup,UK,1423,4561,6,3,28,4,2,3,15,239,60,1,395,2.29,13-10-2024,Daily,Image,3,2,2,Healthcare,Positive,44.53
Isha Bansal,Facebook,USA,2396,14175,11,1,48,1,4,4,5,55,19,12,328,4.29,14-10-2024,Rarely,Article,28,4,1,Marketing,Negative,40.59
Simran Kaur,Microsoft,India,3714,16334,11,4,26,3,1,2,7,436,44,31,339,5.05,15-10-2024,Monthly,Image,1,1,0,Marketing,Positive,68.3
Siddharth Pandey,Startup,Germany,1578,16541,13,4,35,0,1,2,11,193,38,38,274,6.23,16-10-2024,Weekly,Text,4,4,2,Marketing,Positive,8.34
Manish Kulkarni,Google,Australia,3517,15829,6,3,36,4,3,1,3,16,22,8,147,7.13,17-10-2024,Daily,Article,17,1,0,Consulting,Positive,5.04
Isha Bansal,Startup,Germany,364,2145,13,4,19,0,2,3,1,393,84,34,70,5.17,18-10-2024,Monthly,Text,29,1,0,Tech,Negative,1.34
Arjun Reddy,Facebook,Germany,333,19170,5,3,36,8,0,2,6,421,10,17,90,1.05,19-10-2024,Monthly,Image,12,3,1,Marketing,Neutral,3.19
Karthik Nair,Tesla,Australia,4205,2381,9,3,24,4,4,1,17,256,33,40,408,4.98,20-10-2024,Daily,Article,14,1,0,Marketing,Negative,84.08
Karthik Nair,Google,Canada,3963,10270,11,4,7,3,1,1,8,39,59,49,382,5.87,21-10-2024,Daily,Article,9,0,1,Marketing,Negative,51.25
Abhishek Tiwari,Google,Germany,553,10325,7,1,49,1,0,1,1,235,77,15,485,9.27,22-10-2024,Weekly,Text,11,3,1,Marketing,Neutral,55.06
Pooja Choudhary,Facebook,USA,736,8161,12,2,44,1,1,2,13,263,78,14,217,2.41,23-10-2024,Monthly,Text,2,2,1,Healthcare,Neutral,2.55
Meera Rao,Google,Canada,1067,12778,4,4,19,4,0,2,4,179,75,13,311,8.7,24-10-2024,Monthly,Text,12,3,1,Consulting,Negative,14
Arjun Reddy,Tesla,USA,83,6531,9,4,31,2,0,4,13,91,58,36,285,6.32,25-10-2024,Monthly,Video,11,4,1,Education,Negative,24.45
Sandeep Patil,Microsoft,Germany,997,6484,3,3,16,0,1,4,7,59,7,15,404,4.28,26-10-2024,Daily,Article,13,2,2,Education,Positive,7.29
Aarav Sharma,Amazon,Canada,4013,5232,12,1,19,5,0,1,12,255,18,14,181,3.51,27-10-2024,Daily,Video,17,1,1,Marketing,Neutral,27.93
Sandeep Patil,Amazon,India,4885,17525,14,3,36,9,2,4,1,176,71,35,280,3.51,28-10-2024,Weekly,Article,20,2,1,Marketing,Positive,13.44
Aniket Bose,Microsoft,USA,826,2540,7,1,39,9,0,1,13,482,62,16,365,2.41,29-10-2024,Weekly,Article,8,4,2,Finance,Neutral,38.93
Sneha Joshi,Amazon,UK,1519,17426,6,4,20,8,1,2,17,99,89,43,23,0.63,30-10-2024,Monthly,Text,29,1,2,Healthcare,Negative,96.3
Aakash Sinha,Freelancer,USA,1591,16708,8,4,48,7,2,4,11,465,23,6,455,1.76,31-10-2024,Weekly,Article,5,4,2,Education,Negative,33.72
Aditi Chauhan,Microsoft,India,1505,3788,1,2,26,9,2,3,9,323,31,40,455,7.42,01-11-2024,Monthly,Video,20,3,0,Finance,Positive,54.53
Meera Rao,Tesla,India,51,7233,10,1,37,1,1,3,16,179,95,10,171,2.01,02-11-2024,Monthly,Article,28,1,2,Finance,Negative,94.51
Rahul Mishra,Microsoft,India,806,2820,6,2,38,9,1,2,7,212,86,9,212,5.77,03-11-2024,Monthly,Article,7,3,1,Finance,Negative,51.9
Siddharth Pandey,Amazon,India,2627,2659,11,3,5,9,2,1,16,53,25,40,421,3.64,04-11-2024,Daily,Image,13,0,1,Finance,Neutral,25.83
Rajesh Gupta,Freelancer,Canada,1222,14035,3,1,48,7,4,2,7,161,53,22,363,8.72,05-11-2024,Daily,Image,12,2,2,Healthcare,Positive,75.88
Aakash Sinha,Microsoft,Germany,2484,6797,7,3,12,5,2,3,7,128,20,15,480,1.79,06-11-2024,Weekly,Image,15,0,0,Education,Positive,63.88
Nidhi Goel,Freelancer,Australia,2486,1320,14,1,25,0,4,2,14,234,6,25,172,5.35,07-11-2024,Weekly,Image,20,4,1,Education,Negative,48.26
Shweta Bhattacharya,Amazon,Germany,1787,1240,11,1,46,2,0,4,13,30,26,15,93,7.38,08-11-2024,Monthly,Text,18,4,2,Healthcare,Positive,40
Yashwant Joshi,Startup,Germany,2567,1675,5,3,39,1,4,1,8,82,5,23,379,4.86,09-11-2024,Monthly,Image,19,4,2,Consulting,Neutral,7.09
Manish Kulkarni,Google,Australia,3164,1292,14,2,33,4,3,2,9,194,17,4,78,1.24,10-11-2024,Daily,Text,16,3,0,Marketing,Neutral,69.7
Priya Verma,Google,UK,4783,15540,9,2,44,6,1,4,15,273,50,17,231,6.37,11-11-2024,Weekly,Article,12,0,1,Marketing,Neutral,40
Arjun Reddy,Freelancer,Canada,2157,19615,3,1,29,8,4,4,4,285,44,21,212,0.9,12-11-2024,Monthly,Article,29,2,1,Tech,Neutral,58
Harsh Vardhan,Facebook,Canada,2047,8565,1,2,22,4,1,1,14,161,91,39,377,1.08,13-11-2024,Monthly,Text,24,2,2,Tech,Negative,1.45
Neha Malhotra,Tesla,UK,246,19356,14,3,37,7,2,2,9,465,55,42,131,1.39,14-11-2024,Rarely,Text,1,2,2,Consulting,Positive,28.31
Rohan Iyer,Tesla,Australia,4289,18597,10,4,15,6,3,2,18,459,9,27,68,6.58,15-11-2024,Monthly,Image,29,3,2,Marketing,Positive,58.24
Priya Verma,Amazon,Germany,2578,19860,12,3,44,0,2,2,8,348,47,34,50,0.91,16-11-2024,Daily,Image,29,4,0,Consulting,Negative,14.66
Pallavi Thakur,Amazon,India,1639,17580,9,2,46,0,0,2,14,452,83,49,361,1.55,17-11-2024,Rarely,Text,20,2,0,Healthcare,Negative,81.37
Kavya Deshmukh,Facebook,USA,600,19098,1,4,13,9,3,2,8,276,56,34,457,2.16,18-11-2024,Daily,Video,4,2,0,Marketing,Positive,59.53
Rahul Mishra,Facebook,USA,2360,3368,4,4,26,6,1,2,9,401,36,43,370,1.96,19-11-2024,Weekly,Video,7,1,2,Marketing,Negative,45.86
Yashwant Joshi,Microsoft,India,1092,12446,3,3,40,7,3,1,16,428,47,23,77,7.55,20-11-2024,Daily,Video,25,3,2,Healthcare,Negative,81.39
Rohan Iyer,Facebook,Canada,3501,2843,5,3,10,6,4,2,19,483,45,33,142,4.96,21-11-2024,Rarely,Image,18,3,1,Marketing,Neutral,29.12
Manish Kulkarni,Freelancer,Canada,2219,7018,3,1,14,0,2,1,7,345,66,1,266,0.86,22-11-2024,Monthly,Text,17,2,1,Healthcare,Negative,1.95
Varun Bhatia,Amazon,Germany,2515,5090,7,1,37,7,4,1,8,443,42,27,384,3.9,23-11-2024,Weekly,Image,14,4,0,Tech,Negative,19.08
Simran Kaur,Amazon,Australia,1982,18302,12,1,14,7,1,2,5,299,44,36,139,1.3,24-11-2024,Monthly,Video,26,3,0,Education,Neutral,57.59
Arjun Reddy,Freelancer,UK,2721,16541,14,2,41,5,3,4,10,476,91,38,368,9.8,25-11-2024,Weekly,Video,7,0,0,Consulting,Negative,57.85
Harsh Vardhan,Amazon,Canada,1367,2894,3,2,9,5,3,2,8,67,73,10,180,6.05,26-11-2024,Daily,Video,23,2,2,Consulting,Neutral,82.97
Kavya Deshmukh,Google,Australia,2849,4413,3,1,32,9,3,4,11,148,42,5,274,4.35,27-11-2024,Monthly,Article,21,1,0,Healthcare,Positive,5.31
Tanvi Agarwal,Startup,Australia,1795,3624,5,4,13,7,3,3,13,201,84,20,82,4.25,28-11-2024,Monthly,Text,15,0,1,Healthcare,Positive,20.25
Pooja Choudhary,Tesla,India,2374,17460,4,3,5,7,1,1,6,102,78,43,167,8.49,29-11-2024,Monthly,Video,16,0,1,Finance,Positive,33.57
Abhishek Tiwari,Amazon,USA,1933,11345,8,2,44,6,3,3,10,476,24,14,236,5.96,30-11-2024,Daily,Image,21,3,1,Education,Negative,29.45
Simran Kaur,Freelancer,India,3820,3552,12,1,28,9,0,3,1,140,7,42,263,8.21,01-12-2024,Monthly,Image,26,2,0,Tech,Negative,65.49
Varun Bhatia,Freelancer,Germany,2116,16980,12,4,9,7,4,3,6,146,40,25,120,9.7,02-12-2024,Daily,Text,25,3,0,Education,Neutral,56.74
Aakash Sinha,Google,Canada,2404,934,12,3,37,7,3,4,19,129,77,24,418,4,03-12-2024,Weekly,Image,9,0,0,Education,Neutral,44.93
Isha Bansal,Microsoft,USA,2268,9912,14,3,44,4,1,1,12,93,85,14,275,8,04-12-2024,Rarely,Article,20,0,0,Healthcare,Negative,24.75
Nidhi Goel,Freelancer,Germany,2494,18119,11,4,21,1,1,1,1,25,28,16,296,1.35,05-12-2024,Rarely,Image,8,2,2,Marketing,Neutral,36.15
Rahul Mishra,Freelancer,UK,4544,10854,7,1,39,3,3,4,16,172,19,38,186,3.81,06-12-2024,Monthly,Video,9,3,1,Healthcare,Positive,38.62
Simran Kaur,Google,Australia,488,18374,7,4,8,4,4,1,5,256,14,4,411,4.22,07-12-2024,Weekly,Video,27,1,1,Marketing,Neutral,30.48
Sneha Joshi,Tesla,Canada,1392,2721,3,1,25,3,0,3,19,254,19,39,32,7.98,08-12-2024,Daily,Text,19,3,1,Healthcare,Neutral,60.83
Aditi Chauhan,Freelancer,Australia,177,19889,13,3,11,8,4,3,18,341,74,0,88,9.17,09-12-2024,Daily,Video,15,2,2,Education,Negative,62.6
Swati Rajan,Tesla,Germany,4982,3164,6,2,42,2,0,3,2,420,63,40,357,6.08,10-12-2024,Daily,Video,8,1,1,Education,Negative,16.72
Siddharth Pandey,Microsoft,Germany,4734,2420,10,2,11,7,1,2,7,162,28,0,181,2.39,11-12-2024,Daily,Text,18,0,0,Healthcare,Negative,27.88
